method,held_out_fold,validation_window_id,sample_size,feasible,solver_status,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
SAA,fold_1,0,20,True,optimal_decomposed,196.54105950001394,0.0,1,3,11454.79167243502,337.5340785037805,11792.3257509388,12034.988725574389,12372.52280407817,184793.61003407993,0.703847100706881,35.19717088438121,41.977936250817216,8.526512829121202e-14,0.0,8.881784197001252e-16,False,False,False
SAA,fold_1,1,20,True,optimal_decomposed,353.49201320001157,0.0,2,4,12034.767496216202,490.83092747949877,12525.598423695701,12727.829866859001,13218.6607943385,173566.2504638292,0.8327776242696947,34.57878633941867,48.359663657178814,2.2737367544323206e-13,0.0,6.661338147750939e-16,False,False,False
SAA,fold_1,2,20,True,optimal_decomposed,197.8481987999985,0.0,1,3,11469.399951142708,299.39400193716443,11768.793953079872,12219.565692008986,12518.95969394615,191090.6507718292,0.7363491841297725,36.17093105501019,34.095668087671655,7.105427357601002e-14,0.0,6.661338147750939e-16,False,False,False
SAA,fold_1,3,20,True,optimal_decomposed,143.45935809999355,0.0,1,3,12292.424546929953,361.8558110712209,12654.280358001173,12355.1735445643,12717.029355635521,177329.7078297612,1.9498714845073462,33.531133852356575,32.45280199406521,1.9895196601282805e-13,0.0,8.881784197001252e-16,False,False,False
SAA,fold_1,4,20,True,optimal_decomposed,163.52152280000155,0.0,1,3,10388.599975762796,345.4875864214122,10734.087562184208,10566.223659296118,10911.71124571753,165401.52272850962,0.48267477490435073,35.00531192527705,35.93794465782248,8.526512829121202e-14,0.0,6.661338147750939e-16,False,False,False
SAA,fold_1,5,20,True,optimal_decomposed,133.15491409998504,0.0,1,3,11514.75096326032,570.5342033379059,12085.285166598225,12331.065974644918,12901.600177982824,175133.24532981394,0.306935129741548,35.11534542685446,34.521910225510254,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
SAA,fold_1,6,20,True,optimal_decomposed,211.34587190000457,0.0,1,3,11750.675671127916,351.9886748073361,12102.664345935253,11944.979532054824,12296.96820686216,178000.6517715003,0.8372718380651607,34.497420385722606,36.294659792133494,2.842170943040401e-14,0.0,7.771561172376096e-16,False,False,False
SAA,fold_1,7,20,True,optimal_decomposed,133.79222339999978,0.0,1,3,14398.44282935459,455.5056909191437,14853.948520273734,16123.819214465366,16579.32490538451,184055.44181426318,0.164361895725194,35.03904774835722,38.58202203692844,7.105427357601002e-14,0.0,3.3306690738754696e-16,False,False,False
SAA,fold_1,8,20,True,optimal_decomposed,191.1226064999937,0.0,1,3,20534.476541542623,617.484544719262,21151.961086261887,22027.593811037077,22645.07835575634,181378.2639848794,0.6135437507426368,34.1461268296044,37.06768701608761,1.1368683772161603e-13,0.0,7.771561172376096e-16,False,False,False
SAA,fold_1,9,20,True,optimal_decomposed,356.78183819999686,0.0,2,4,11177.560112018115,332.0148448163761,11509.57495683449,11222.807984845529,11554.822829661905,172503.3891647902,0.5171895567479574,34.69968403219363,41.19705343645834,2.2737367544323206e-13,0.0,8.881784197001252e-16,False,False,False
